"test","batch_size","input_dim","hidden_dim","output_dim","metric","value","tolerance","status","cpu_fallback","nan_inf"
"MSE micro test","2","","","3","absolute_error","6.49690628e-06","1e-5","SUCCESS","false","false"
"dP micro test","2","","","3","max_absolute_error","0.000195324421","5e-4","SUCCESS","false","false"
"SGD micro test","2","","","3","max_absolute_error","0.000214874744","5e-4","SUCCESS","false","false"
"small prediction","2","4","5","3","max_absolute_error","0.000427007675","1e-3","SUCCESS","false","false"
"small loss","2","4","5","3","absolute_error","7.59959221e-05","1e-3","SUCCESS","false","false"
"small dP","2","4","5","3","max_absolute_error","0.000202469528","1e-3","SUCCESS","false","false"
"small dW2","2","4","5","3","max_absolute_error","0.000236690044","1e-2","SUCCESS","false","false"
"small dH","2","4","5","3","max_absolute_error","0.000396862626","1e-2","SUCCESS","false","false"
"small mask mismatch","2","4","5","3","mismatch_count","0","0 or abs(CPU Z1)<1e-3","SUCCESS","false","false"
"small dZ1","2","4","5","3","max_absolute_error","0.000396862626","1e-2","SUCCESS","false","false"
"small dW1","2","4","5","3","max_absolute_error","0.000164687634","1e-2","SUCCESS","false","false"
"small W1_next","2","4","5","3","max_absolute_error","0.000609397888","1e-2","SUCCESS","false","false"
"small W2_next","2","4","5","3","max_absolute_error","0.000465631485","1e-2","SUCCESS","false","false"
